n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 9.765625E-5 	 9.765577316179096E-5 	 1.953125E-4 	 1.381054444946041E-4
10 	 AVLTree 	 1.953125E-4 	 1.3810544449487452E-4 	 0.0 	 0.0
10 	 vEBTree 	 9.765625E-5 	 9.765577316187351E-5 	 9.765625E-5 	 9.76557731617637E-5
10 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 4.8828125E-5 	 4.882800579052551E-5 	 0.0 	 0.0
11 	 AVLTree 	 4.8828125E-5 	 4.882800579047263E-5 	 9.765625E-5 	 6.905305942464984E-5
11 	 vEBTree 	 4.8828125E-5 	 4.882800579050022E-5 	 4.8828125E-5 	 4.882800579048557E-5
11 	 SplayTree 	 4.8828125E-5 	 4.8828005790549796E-5 	 0.0 	 0.0
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 0.0 	 0.0 	 2.44140625E-5 	 2.4414032697644834E-5
12 	 AVLTree 	 4.8828125E-5 	 3.452661400627973E-5 	 2.44140625E-5 	 2.441403269763649E-5
12 	 vEBTree 	 2.44140625E-5 	 2.441403269763661E-5 	 2.44140625E-5 	 2.441403269764896E-5
12 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 3.662109375E-5 	 2.114315962025755E-5 	 1.220703125E-5 	 1.220702379944626E-5
13 	 AVLTree 	 3.662109375E-5 	 2.114315962025337E-5 	 0.0 	 0.0
13 	 vEBTree 	 8.544921875E-5 	 3.2296630947009426E-5 	 1.220703125E-5 	 1.2207023799584824E-5
13 	 SplayTree 	 3.662109375E-5 	 2.1143159620220925E-5 	 4.8828125E-5 	 2.4414002895235288E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.3193359375E-5 	 6.905315886575718E-6 	 2.86865234375E-5 	 9.195846209483647E-6
14 	 AVLTree 	 3.23486328125E-5 	 9.31657798011593E-6 	 2.62451171875E-5 	 7.038887735529166E-6
14 	 vEBTree 	 4.69970703125E-5 	 7.88739500006615E-6 	 1.89208984375E-5 	 6.713850914715275E-6
14 	 SplayTree 	 1.8310546875E-5 	 3.34300258140975E-6 	 3.0517578125E-5 	 7.2217377233099645E-6
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 1.8310546875E-5 	 3.737611041960901E-6 	 1.52587890625E-5 	 2.1579021800822706E-6
15 	 AVLTree 	 3.47900390625E-5 	 6.644119254622107E-6 	 2.410888671875E-5 	 4.911321339918481E-6
15 	 vEBTree 	 4.669189453125E-5 	 6.276486244808167E-6 	 2.62451171875E-5 	 5.758026871422652E-6
15 	 SplayTree 	 2.166748046875E-5 	 4.834878834814099E-6 	 2.9296875E-5 	 6.516751296649364E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
16 	 ABBTree 	 2.1209716796875E-5 	 3.976069926823931E-6 	 1.617431640625E-5 	 3.597963850313293E-6
16 	 AVLTree 	 2.25830078125E-5 	 4.2560716932941325E-6 	 2.0904541015625E-5 	 4.2258778600978385E-6
16 	 vEBTree 	 5.7830810546875E-5 	 7.411088889210538E-6 	 1.8157958984375E-5 	 3.639782042082538E-6
16 	 SplayTree 	 2.13623046875E-5 	 4.474747559343501E-6 	 1.7547607421875E-5 	 3.626966277838344E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
17 	 ABBTree 	 2.0751953125E-5 	 3.2386706595862256E-6 	 2.41851806640625E-5 	 3.434916046249164E-6
17 	 AVLTree 	 2.47955322265625E-5 	 3.441687389779587E-6 	 2.44140625E-5 	 3.512830573110369E-6
17 	 vEBTree 	 5.33294677734375E-5 	 5.157020776185858E-6 	 2.0904541015625E-5 	 2.988146891387831E-6
17 	 SplayTree 	 2.11334228515625E-5 	 3.322944357155979E-6 	 2.09808349609375E-5 	 3.075501798762595E-6
17 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
18 	 ABBTree 	 2.7008056640625E-5 	 2.6313064130123853E-6 	 1.8463134765625E-5 	 2.1218740697005947E-6
18 	 AVLTree 	 2.796173095703125E-5 	 2.51103863806623E-6 	 2.552032470703125E-5 	 2.4393141024540035E-6
18 	 vEBTree 	 5.207061767578125E-5 	 3.417280868949905E-6 	 2.655029296875E-5 	 2.6773581286959398E-6
18 	 SplayTree 	 2.208709716796875E-5 	 2.3011786859496355E-6 	 2.044677734375E-5 	 2.1700193130770064E-6
18 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
19 	 ABBTree 	 2.368927001953125E-5 	 2.085210198186282E-6 	 2.12860107421875E-5 	 1.9772110108659474E-6
19 	 AVLTree 	 3.4332275390625E-5 	 2.5072704075624214E-6 	 2.6702880859375E-5 	 2.2202359521855374E-6
19 	 vEBTree 	 5.67626953125E-5 	 3.2219985841981E-6 	 2.1228790283203126E-5 	 1.9769350122716583E-6
19 	 SplayTree 	 1.80816650390625E-5 	 1.8142869083947416E-6 	 2.0503997802734375E-5 	 1.9315121652374196E-6
19 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
20 	 ABBTree 	 2.3088455200195313E-5 	 1.6810371533480171E-6 	 2.020835876464844E-5 	 1.6995470947412952E-6
20 	 AVLTree 	 2.6750564575195313E-5 	 1.8382656883516268E-6 	 2.26593017578125E-5 	 1.7876229151552934E-6
20 	 vEBTree 	 5.1059722900390624E-5 	 2.5113293664520246E-6 	 2.482414245605469E-5 	 1.8781074051184562E-6
20 	 SplayTree 	 2.3860931396484375E-5 	 1.7468632464285434E-6 	 1.972198486328125E-5 	 1.6673750919575446E-6
20 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
