n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 9.765625E-5 	 9.765577316176803E-5 	 0.0 	 0.0
10 	 AVLTree 	 1.953125E-4 	 1.3810544449481367E-4 	 9.765625E-5 	 9.765577316181578E-5
10 	 vEBTree 	 1.953125E-4 	 1.3810544449468828E-4 	 9.765625E-5 	 9.765577316176943E-5
10 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 0.0 	 0.0 	 4.8828125E-5 	 4.8828005790549986E-5
11 	 AVLTree 	 9.765625E-5 	 6.905305942466295E-5 	 0.0 	 0.0
11 	 vEBTree 	 9.765625E-5 	 6.905305942451772E-5 	 4.8828125E-5 	 4.882800579048166E-5
11 	 SplayTree 	 0.0 	 0.0 	 4.8828125E-5 	 4.882800579051637E-5
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
12 	 AVLTree 	 2.44140625E-5 	 2.441403269765617E-5 	 2.44140625E-5 	 2.441403269765759E-5
12 	 vEBTree 	 1.46484375E-4 	 5.98015576689345E-5 	 0.0 	 0.0
12 	 SplayTree 	 0.0 	 0.0 	 2.44140625E-5 	 2.441403269765342E-5
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 1.220703125E-5 	 1.2207023799477582E-5 	 3.662109375E-5 	 2.114315962023517E-5
13 	 AVLTree 	 2.44140625E-5 	 1.726332807670223E-5 	 0.0 	 0.0
13 	 vEBTree 	 4.8828125E-5 	 2.4414002895230104E-5 	 0.0 	 0.0
13 	 SplayTree 	 1.220703125E-5 	 1.2207023799552353E-5 	 4.8828125E-5 	 2.4414002895228718E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.3193359375E-5 	 9.011714608223E-6 	 1.8310546875E-5 	 6.6860510725973384E-6
14 	 AVLTree 	 1.5869140625E-5 	 3.112169833311511E-6 	 2.62451171875E-5 	 9.114469443748407E-6
14 	 vEBTree 	 4.5166015625E-5 	 1.1320280083596701E-5 	 2.50244140625E-5 	 6.985765576840783E-6
14 	 SplayTree 	 2.197265625E-5 	 8.970282925946747E-6 	 2.5634765625E-5 	 7.012376975897229E-6
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 1.89208984375E-5 	 3.7624451997323255E-6 	 1.708984375E-5 	 3.6874409091758975E-6
15 	 AVLTree 	 2.227783203125E-5 	 3.896204115134696E-6 	 2.3193359375E-5 	 4.8827956897530995E-6
15 	 vEBTree 	 5.828857421875E-5 	 8.250978326531097E-6 	 2.044677734375E-5 	 4.796200580599648E-6
15 	 SplayTree 	 2.25830078125E-5 	 4.8636856148127106E-6 	 1.77001953125E-5 	 3.712610738232323E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
16 	 ABBTree 	 2.1209716796875E-5 	 4.231383681022849E-6 	 1.7547607421875E-5 	 3.905170952978374E-6
16 	 AVLTree 	 3.387451171875E-5 	 5.692965001236438E-6 	 3.11279296875E-5 	 5.838343804178667E-6
16 	 vEBTree 	 5.6610107421875E-5 	 6.9607160504619105E-6 	 1.2664794921875E-5 	 2.866861916212134E-6
16 	 SplayTree 	 2.044677734375E-5 	 4.2176056456482175E-6 	 1.861572265625E-5 	 3.649364319513407E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
17 	 ABBTree 	 1.953125E-5 	 2.9725231407479326E-6 	 2.6397705078125E-5 	 3.887242673764815E-6
17 	 AVLTree 	 2.5177001953125E-5 	 3.3690422257194834E-6 	 1.71661376953125E-5 	 2.756098196217117E-6
17 	 vEBTree 	 4.95147705078125E-5 	 4.7024358928282875E-6 	 1.65557861328125E-5 	 2.6505930953354154E-6
17 	 SplayTree 	 1.922607421875E-5 	 2.9666429055430703E-6 	 2.3193359375E-5 	 3.186122255096974E-6
17 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
18 	 ABBTree 	 2.26593017578125E-5 	 2.2190873182174533E-6 	 2.0599365234375E-5 	 2.2013113324015165E-6
18 	 AVLTree 	 2.086639404296875E-5 	 2.0496637080704555E-6 	 2.00653076171875E-5 	 2.042195765540957E-6
18 	 vEBTree 	 5.28717041015625E-5 	 3.53470900979242E-6 	 2.03704833984375E-5 	 2.1081126816801047E-6
18 	 SplayTree 	 2.048492431640625E-5 	 2.2305344228383917E-6 	 2.2125244140625E-5 	 2.2728641027422544E-6
18 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
19 	 ABBTree 	 2.101898193359375E-5 	 1.950908763781177E-6 	 2.2106170654296875E-5 	 1.9645667198137436E-6
19 	 AVLTree 	 2.4967193603515625E-5 	 2.1451497628444295E-6 	 2.1610260009765625E-5 	 1.9028587439555743E-6
19 	 vEBTree 	 5.37109375E-5 	 3.1460181371268822E-6 	 2.1266937255859376E-5 	 1.9182822883615992E-6
19 	 SplayTree 	 2.544403076171875E-5 	 2.170020143269144E-6 	 2.14385986328125E-5 	 1.927646956280961E-6
19 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
20 	 ABBTree 	 2.1638870239257814E-5 	 1.7687753846305324E-6 	 2.0971298217773436E-5 	 1.7669748639269312E-6
20 	 AVLTree 	 2.3908615112304688E-5 	 1.85751032273368E-6 	 2.5539398193359376E-5 	 1.948343595575259E-6
20 	 vEBTree 	 5.372047424316406E-5 	 2.7962781118740323E-6 	 1.9121170043945313E-5 	 1.6908557350019497E-6
20 	 SplayTree 	 2.066612243652344E-5 	 1.7334051942638433E-6 	 2.0437240600585937E-5 	 1.746889691246394E-6
20 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
