n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 AVLTree 	 0.0 	 0.0 	 9.765625E-5 	 9.765577316188568E-5
10 	 vEBTree 	 1.953125E-4 	 1.3810544449475366E-4 	 0.0 	 0.0
10 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 9.765625E-5 	 6.905305942474928E-5 	 0.0 	 0.0
11 	 AVLTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 vEBTree 	 4.8828125E-5 	 4.882800579049682E-5 	 4.8828125E-5 	 4.8828005790478666E-5
11 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 4.8828125E-5 	 3.452661400626574E-5 	 2.44140625E-5 	 2.441403269764865E-5
12 	 AVLTree 	 2.44140625E-5 	 2.44140326976351E-5 	 0.0 	 0.0
12 	 vEBTree 	 4.8828125E-5 	 3.452661400627589E-5 	 2.44140625E-5 	 2.4414032697644353E-5
12 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 1.220703125E-5 	 1.2207023799560349E-5 	 4.8828125E-5 	 2.4414002895226736E-5
13 	 AVLTree 	 2.44140625E-5 	 1.726332807662937E-5 	 1.220703125E-5 	 1.2207023799455743E-5
13 	 vEBTree 	 7.32421875E-5 	 2.9900888335944835E-5 	 1.220703125E-5 	 1.2207023799519088E-5
13 	 SplayTree 	 1.220703125E-5 	 1.2207023799462975E-5 	 0.0 	 0.0
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.62451171875E-5 	 9.114469443755707E-6 	 1.220703125E-5 	 6.401414088671331E-6
14 	 AVLTree 	 1.3427734375E-5 	 2.8627833672176945E-6 	 3.60107421875E-5 	 1.2493553218177708E-5
14 	 vEBTree 	 7.14111328125E-5 	 1.4533438939194815E-5 	 1.46484375E-5 	 6.516761345516326E-6
14 	 SplayTree 	 1.15966796875E-5 	 2.6604453547385953E-6 	 1.220703125E-5 	 6.401414088598926E-6
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 1.922607421875E-5 	 4.7572077690196E-6 	 2.410888671875E-5 	 5.701138524586047E-6
15 	 AVLTree 	 2.01416015625E-5 	 3.8116280458463867E-6 	 2.197265625E-5 	 6.342947885835463E-6
15 	 vEBTree 	 6.65283203125E-5 	 9.794124487616277E-6 	 1.373291015625E-5 	 3.5458140396135104E-6
15 	 SplayTree 	 1.953125E-5 	 4.766985882678346E-6 	 1.678466796875E-5 	 4.678246950252948E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
16 	 ABBTree 	 1.800537109375E-5 	 3.336053851188904E-6 	 1.434326171875E-5 	 2.911186018803359E-6
16 	 AVLTree 	 2.471923828125E-5 	 4.757209825992319E-6 	 2.471923828125E-5 	 4.757209825947594E-6
16 	 vEBTree 	 5.8746337890625E-5 	 6.984088576075522E-6 	 1.800537109375E-5 	 3.914103586520795E-6
16 	 SplayTree 	 1.7547607421875E-5 	 3.626966277917222E-6 	 2.349853515625E-5 	 4.511021391950716E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
17 	 ABBTree 	 1.861572265625E-5 	 3.130837532781394E-6 	 1.97601318359375E-5 	 3.2269677325452864E-6
17 	 AVLTree 	 1.6326904296875E-5 	 2.838295251214355E-6 	 1.4801025390625E-5 	 2.523470108882929E-6
17 	 vEBTree 	 4.9591064453125E-5 	 4.867271346872914E-6 	 1.8463134765625E-5 	 3.0441145850349436E-6
17 	 SplayTree 	 2.26593017578125E-5 	 3.493723990053204E-6 	 2.12860107421875E-5 	 3.244954744087293E-6
17 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
18 	 ABBTree 	 2.4261474609375E-5 	 2.4827744225409304E-6 	 1.57928466796875E-5 	 1.90123281772099E-6
18 	 AVLTree 	 2.307891845703125E-5 	 2.3929392645119574E-6 	 2.124786376953125E-5 	 2.3225799781528293E-6
18 	 vEBTree 	 5.59234619140625E-5 	 3.7309841604929826E-6 	 2.033233642578125E-5 	 2.1989965118269864E-6
18 	 SplayTree 	 1.758575439453125E-5 	 1.986205533220332E-6 	 2.09808349609375E-5 	 2.2341195427296595E-6
18 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
19 	 ABBTree 	 1.842498779296875E-5 	 1.834030733149875E-6 	 1.7642974853515625E-5 	 1.793818919204834E-6
19 	 AVLTree 	 2.513885498046875E-5 	 2.1459127472532275E-6 	 2.2258758544921875E-5 	 2.0146670950195937E-6
19 	 vEBTree 	 5.3253173828125E-5 	 3.1342010619008788E-6 	 1.9741058349609374E-5 	 1.9020942367507342E-6
19 	 SplayTree 	 2.094268798828125E-5 	 1.975554427280177E-6 	 1.949310302734375E-5 	 1.892218670542674E-6
19 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
20 	 ABBTree 	 1.7223358154296874E-5 	 1.5845340797851626E-6 	 1.99127197265625E-5 	 1.715499686604295E-6
20 	 AVLTree 	 2.1381378173828127E-5 	 1.7727046391433654E-6 	 2.0961761474609375E-5 	 1.765404275976733E-6
20 	 vEBTree 	 5.637168884277344E-5 	 2.880517452998952E-6 	 2.196311950683594E-5 	 1.800979277550928E-6
20 	 SplayTree 	 1.9826889038085937E-5 	 1.7056901391408007E-6 	 1.6689300537109375E-5 	 1.5760163004782402E-6
20 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
