n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 9.765625E-5 	 9.76557731618484E-5 	 0.0 	 0.0
10 	 AVLTree 	 9.765625E-5 	 9.765577316174896E-5 	 9.765625E-5 	 9.7655773161806E-5
10 	 vEBTree 	 9.765625E-5 	 9.765577316193088E-5 	 0.0 	 0.0
10 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 9.765625E-5 	 6.905305942450753E-5 	 9.765625E-5 	 6.905305942457853E-5
11 	 AVLTree 	 9.765625E-5 	 6.905305942473178E-5 	 1.953125E-4 	 9.765529632136842E-5
11 	 vEBTree 	 4.8828125E-5 	 4.882800579045875E-5 	 1.46484375E-4 	 8.457217390618797E-5
11 	 SplayTree 	 9.765625E-5 	 6.905305942460431E-5 	 0.0 	 0.0
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 2.44140625E-5 	 2.4414032697639305E-5 	 0.0 	 0.0
12 	 AVLTree 	 4.8828125E-5 	 3.452661400624686E-5 	 9.765625E-5 	 4.8827886580684496E-5
12 	 vEBTree 	 4.8828125E-5 	 3.4526614006295746E-5 	 0.0 	 0.0
12 	 SplayTree 	 2.44140625E-5 	 2.4414032697658915E-5 	 0.0 	 0.0
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 2.44140625E-5 	 1.726332807663809E-5 	 3.662109375E-5 	 2.1143159620249195E-5
13 	 AVLTree 	 4.8828125E-5 	 2.441400289525154E-5 	 1.220703125E-5 	 1.220702379951314E-5
13 	 vEBTree 	 4.8828125E-5 	 2.4414002895226973E-5 	 2.44140625E-5 	 1.7263328076996983E-5
13 	 SplayTree 	 2.44140625E-5 	 1.7263328076629137E-5 	 2.44140625E-5 	 1.7263328076821946E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.9296875E-5 	 4.2285777235128025E-6 	 1.8310546875E-5 	 6.686051072599767E-6
14 	 AVLTree 	 5.92041015625E-5 	 1.0158169220429905E-5 	 2.3193359375E-5 	 6.9053158866985405E-6
14 	 vEBTree 	 5.18798828125E-5 	 8.074090503136787E-6 	 2.62451171875E-5 	 4.002290328017911E-6
14 	 SplayTree 	 1.77001953125E-5 	 3.2868146653076E-6 	 3.35693359375E-5 	 1.1003238018629594E-5
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 3.204345703125E-5 	 5.151929738221071E-6 	 2.899169921875E-5 	 5.060742464880698E-6
15 	 AVLTree 	 5.43212890625E-5 	 7.647624283063639E-6 	 2.105712890625E-5 	 2.5349537370564637E-6
15 	 vEBTree 	 6.16455078125E-5 	 6.630027586691067E-6 	 2.960205078125E-5 	 5.079110935592165E-6
15 	 SplayTree 	 2.13623046875E-5 	 4.8252383462739795E-6 	 1.922607421875E-5 	 3.774800999575045E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
16 	 ABBTree 	 3.4332275390625E-5 	 4.908950169032633E-6 	 4.180908203125E-5 	 6.6406217469691026E-6
16 	 AVLTree 	 5.7830810546875E-5 	 6.17741306552032E-6 	 2.288818359375E-5 	 3.7376140361431656E-6
16 	 vEBTree 	 5.8746337890625E-5 	 5.840305016807657E-6 	 3.0517578125E-5 	 4.849304372845005E-6
16 	 SplayTree 	 1.6937255859375E-5 	 2.978389455828271E-6 	 1.983642578125E-5 	 3.6747948636426147E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
