n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 AVLTree 	 9.765625E-5 	 9.765577316169394E-5 	 0.0 	 0.0
10 	 vEBTree 	 9.765625E-5 	 9.765577316191258E-5 	 1.953125E-4 	 1.3810544449486243E-4
10 	 SplayTree 	 0.0 	 0.0 	 9.765625E-5 	 9.76557731619275E-5
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 0.0 	 0.0 	 4.8828125E-5 	 4.8828005790553076E-5
11 	 AVLTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 vEBTree 	 1.46484375E-4 	 8.45721739062895E-5 	 0.0 	 0.0
11 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 0.0 	 0.0 	 2.44140625E-5 	 2.4414032697636045E-5
12 	 AVLTree 	 2.44140625E-5 	 2.4414032697643228E-5 	 0.0 	 0.0
12 	 vEBTree 	 1.220703125E-4 	 5.459117015581788E-5 	 4.8828125E-5 	 3.452661400627187E-5
12 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 1.220703125E-5 	 1.220702379951537E-5 	 1.220703125E-5 	 1.2207023799488061E-5
13 	 AVLTree 	 1.220703125E-5 	 1.2207023799437408E-5 	 3.662109375E-5 	 2.1143159620253464E-5
13 	 vEBTree 	 6.103515625E-5 	 2.729566837831369E-5 	 1.220703125E-5 	 1.2207023799445188E-5
13 	 SplayTree 	 2.44140625E-5 	 1.7263328076834716E-5 	 2.44140625E-5 	 1.7263328076903176E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 3.41796875E-5 	 1.2448749470126312E-5 	 2.13623046875E-5 	 6.82391751125359E-6
14 	 AVLTree 	 1.3427734375E-5 	 6.459345268280441E-6 	 1.03759765625E-5 	 2.516530905135883E-6
14 	 vEBTree 	 4.5166015625E-5 	 1.132028008380603E-5 	 1.77001953125E-5 	 6.658135123928409E-6
14 	 SplayTree 	 1.15966796875E-5 	 2.660445354653249E-6 	 1.46484375E-5 	 2.9900778834537825E-6
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 2.105712890625E-5 	 4.815578552281108E-6 	 1.434326171875E-5 	 2.092164744320186E-6
15 	 AVLTree 	 1.617431640625E-5 	 2.2216952555781102E-6 	 1.251220703125E-5 	 1.9540662165891905E-6
15 	 vEBTree 	 4.913330078125E-5 	 7.543412529289565E-6 	 2.197265625E-5 	 4.8445001334078314E-6
15 	 SplayTree 	 2.685546875E-5 	 6.4593367498584894E-6 	 1.708984375E-5 	 2.283706917947178E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
