n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
16 	 ABBTree 	 1.5869140625E-5 	 3.591487050106361E-6 	 1.5869140625E-5 	 3.591487050110668E-6
16 	 AVLTree 	 1.739501953125E-5 	 3.902188863428403E-6 	 9.613037109375E-6 	 2.378606848489878E-6
16 	 vEBTree 	 5.0506591796875E-5 	 6.582506630734382E-6 	 1.3427734375E-5 	 2.887093613101927E-6
16 	 SplayTree 	 1.617431640625E-5 	 3.878249561341618E-6 	 2.62451171875E-5 	 5.201424390493044E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
17 	 ABBTree 	 1.73187255859375E-5 	 2.7582092735416507E-6 	 1.678466796875E-5 	 2.844440783774587E-6
17 	 AVLTree 	 1.8463134765625E-5 	 2.8668616485047785E-6 	 1.54876708984375E-5 	 2.732768668503298E-6
17 	 vEBTree 	 4.60052490234375E-5 	 4.617499833582423E-6 	 1.617431640625E-5 	 2.6450975186296745E-6
17 	 SplayTree 	 1.6937255859375E-5 	 2.7529285433331226E-6 	 2.01416015625E-5 	 3.0650751242033485E-6
17 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
18 	 ABBTree 	 1.8463134765625E-5 	 1.9946128998827432E-6 	 1.544952392578125E-5 	 1.8629607292159506E-6
18 	 AVLTree 	 1.743316650390625E-5 	 1.8831596185170112E-6 	 1.708984375E-5 	 2.078219742655528E-6
18 	 vEBTree 	 5.08880615234375E-5 	 3.313286293141794E-6 	 1.79290771484375E-5 	 2.0859075704784588E-6
18 	 SplayTree 	 1.922607421875E-5 	 2.034342790909772E-6 	 2.063751220703125E-5 	 2.2603453700501048E-6
18 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
19 	 ABBTree 	 1.6956329345703126E-5 	 1.7344276261284006E-6 	 1.781463623046875E-5 	 1.7010709247204785E-6
19 	 AVLTree 	 1.827239990234375E-5 	 1.815289187665518E-6 	 1.556396484375E-5 	 1.5884890550686147E-6
19 	 vEBTree 	 5.208969116210937E-5 	 3.0672667388728743E-6 	 1.3713836669921876E-5 	 1.469895244151355E-6
19 	 SplayTree 	 1.8215179443359376E-5 	 1.7968583316188682E-6 	 1.598358154296875E-5 	 1.5910062170290385E-6
19 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
20 	 ABBTree 	 1.7251968383789062E-5 	 1.5594534455294768E-6 	 1.729011535644531E-5 	 1.585595581741191E-6
20 	 AVLTree 	 1.6269683837890624E-5 	 1.5020286408100713E-6 	 1.5249252319335938E-5 	 1.4896556338203775E-6
20 	 vEBTree 	 5.316734313964844E-5 	 2.732151315826668E-6 	 1.8024444580078124E-5 	 1.615907233365546E-6
20 	 SplayTree 	 1.560211181640625E-5 	 1.4649373294284919E-6 	 1.739501953125E-5 	 1.5962003534127555E-6
20 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
